sample_id,utterance,context,gold_label,free_emotions,free_emotions_norm,mapped_label,mapping_method,mapping_confidence,mapping_reason,is_demo
S0002,"Well for the regular guy, its bad, but Chandler, Oh dear God!",Monica: The woman from the museum called and said that there was a cancellation and that we could move up our wedding and Chandler heard! Monica: I know! Monica: How bad is this?,fear,surprise|concern,surprise|concern,surprise,dictionary_tie_break,0.6,Dictionary labels tied; used first generated emotion as tie-break.,false
S0001,Okay. Its Emma.,,neutral,concerned|pensive,concerned|pensive,fear,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0003,Who am I?,Ross: Where does that leave me? Susan: You get to be the baby's father. Susan: Everyone knows who you are.,anger,confusion|uncertainty,confusion|uncertainty,surprise,dictionary_tie_break,0.6,Dictionary labels tied; used first generated emotion as tie-break.,false
S0004,Well! Well! Well! Joey Tribbiani! So you came back huh? They,"Joey: Hey Estelle, listen",surprise,surprise|skepticism,surprise|skepticism,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0005,"Oh, y'know Joey, you are sick!","Monica: Hi, how are you doing Kelly? Rachel: I'm doing just fine! God, Tiffany, you smell so great! Monica: It's my new perfume. Why don't you come closer where you can",disgust,disgust|annoyance,disgust|annoyance,disgust,dictionary_tie_break,0.6,Dictionary labels tied; used first generated emotion as tie-break.,false
S0006,"My marriage, I think my marriage is um, is kinda over.","Ross: Hi. Where is everybody? Phoebe: Oh, its already closed, Chris gave me the keys to lock up-what is wrong?",sadness,sadness|concern,sadness|concern,sadness,dictionary_tie_break,0.6,Dictionary labels tied; used first generated emotion as tie-break.,false
S0008,"Oh, this life! Oh okay no, Chandler's is worse.",Ross: In,sadness,frustration|exasperation,frustration|exasperation,anger,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0007,"Phoebe, come on, you have to tell us.","Chandler: Why not? Phoebe: I cant say because hes famous. Rachel: Oh my God, who is it?!",anger,curiosity|anticipation,curiosity|anticipation,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0009,"Man, it must be so cool remembering stuff like that! I don't have any past life memories.","Ross: In Phoebe: Oh, this life! Oh okay no, Chandler's is worse.",joy,curiosity|wistfulness,curiosity|wistfulness,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0010,"So, eight days late huh?",Dr. Long: Well do a quick check. Rachel: Okay.,surprise,curious|inquisitive,curious|inquisitive,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0011,"Oh, I cant watch this.","TV Announcer: Pete Becker is circling the ring now. It looks like, hes just trying to feel him out. Oh, Bruiser is just... Chandler: Run! Run you crazy, rich freak!",fear,distressed|overwhelmed,distressed|overwhelmed,neutral,heuristic_llm_fallback,0.55,"Unresolved words: distressed, overwhelmed; used text-level fallback.",false
S0012,"We could, or we can have sex in it.",Chandler: Should we tell Rachel theres an empty private room right next door to hers?,joy,flirtatious|playful,flirtatious|playful,joy,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0014,"Good-good, dont tell him. Dont tell him. Just have him call me okay?","Joey: What? II just figured since youre pregnant youre not gonna be seeing people. Rachel: Okay Joey, first of all Kash Ford is not people. Second of all, what did he say when you told him I was pregnant? Joey: I didnt tell him. I didnt know if you were telling people. This is back when I thought Kash was still people.",fear,cautious|determined,cautious|determined,neutral,heuristic_llm_fallback,0.55,"Unresolved words: cautious, determined; used text-level fallback.",false
S0013,"Ross Geller, why do I know that name? Its uhWait!  Did you write this?","Ross: I find Marions views far too progressionist. Woman: Im sorry, who are you? Ross: Im a professor here uh, RossGeller.",surprise,surprise|recognition,surprise|recognition,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0016,"Hey, if Little Joey's dead, then I got no reason to live!","Monica: Hey, Joey, what would you do if you were omnipotent? Joey: Probably kill myself! Monica: ..Excuse me?",sadness,despair|melancholy,despair|melancholy,neutral,heuristic_llm_fallback,0.55,"Unresolved words: despair, melancholy; used text-level fallback.",false
S0015,"See, there's always one guy.  ""If I had a wish, I'd wish for three more wishes.""","Phoebe: If I were omnipotent for a day, I would want, um, world peace, no more hunger, good things for the rain-forest...And bigger boobs! Ross: Yeah, see.. you took mine. Chandler, what about you? Chandler: Uh, if I were omnipotent for a day, I'd.. make myself omnipotent forever.",disgust,sarcastic|amused,sarcastic|amused,joy,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0018,"Oh, it's so romantic to send people off on their honeymoon.",,joy,nostalgic|affectionate,nostalgic|affectionate,sadness,dictionary_tie_break,0.6,Dictionary labels tied; used first generated emotion as tie-break.,false
S0017,"Listen, I ah, I gotta say good bye, and-and I gotta say it quick cause this is killing me.","Joey: In a minute!! Lauren: So this is it? Victor? Joey: Yeah, I guess it is.",sadness,sadness|urgency,sadness|urgency,sadness,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0019,Whats the charity?,"Chandler: Well, of course I do! My good friend Joey over here. Joey: Oh, Im sorry. Thank you Chandler. Rachel: Anyway, theres this big charity ball this weekend and Ralph Lauren bought a table, so I kinda have to go",neutral,curious|inquisitive,curious|inquisitive,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0020,You wanted to see me Professor Geller?,,joy,curious|polite,curious|polite,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0022,knock over the sandwich right when I was reaching for one!,"Joey: Anyway, it wasnt the robot, it was the guy who controls him. Joey: Yeah, he doesnt like me. Joey: He had C.H.E.E.S.E.",anger,frustration|annoyance,frustration|annoyance,anger,dictionary,0.8500000000000001,Dictionary majority vote over normalized emotion words.,false
S0021,"Yeah, he doesnt like me.","Joey: Pretty great! Except I did get a little attitude from the robot. Chandler: Damn those robots, theyre supposed to be our Joey: Anyway, it wasnt the robot, it was the guy who controls him.",anger,disappointed|frustrated,disappointed|frustrated,sadness,dictionary_tie_break,0.6,Dictionary labels tied; used first generated emotion as tie-break.,false
S0024,What?,Monica: Oh good God! If you want a baby so bad just go steal it! Monica: What is going on with you? Since when are you so crazy about babies? Chandler: Im not crazy about babies. Im crazy about us.,surprise,confusion|amusement,confusion|amusement,surprise,dictionary_tie_break,0.6,Dictionary labels tied; used first generated emotion as tie-break.,false
S0023,Oh good God! If you want a baby so bad just go steal it!,,anger,anger|frustration,anger|frustration,anger,dictionary,0.8500000000000001,Dictionary majority vote over normalized emotion words.,false
S0025,Ken Adams!!,"Rachel: I heard it from my friend Irene who heard it from some guy! Joey: Some guy!! Rachel: No. No, she told me his name was Ken Adams.",surprise,surprise|excitement,surprise|excitement,surprise,dictionary_tie_break,0.6,Dictionary labels tied; used first generated emotion as tie-break.,false
S0026,Some days it's all I can think about.,"Ross: How we doing, you guys ready? Monica: Mom already called this morning to remind me not to wear my hair up. Did you know my ears are not my best feature?",neutral,preoccupation|self-consciousness,preoccupation|self-consciousness,neutral,heuristic_llm_fallback,0.55,"Unresolved words: preoccupation, self-consciousness; used text-level fallback.",false
S0028,"I don't know, I just kinda ran into him last night.","Rachel: Ok, Paulo, why don't you just go get dressed, and then you be on your way, ok, bye-bye. Monica: Rachel, how did this happen?",fear,confused|uncertain,confused|uncertain,surprise,dictionary_tie_break,0.6,Dictionary labels tied; used first generated emotion as tie-break.,false
S0027,"Well umm, Alexandra has been",Phoebe: I cant believe this! How long as this been going on?,neutral,hesitant|concerned,hesitant|concerned,fear,dictionary,0.8500000000000001,Dictionary majority vote over normalized emotion words.,false
S0029,What is the big deal?,"Ross: It's breast milk. Phoebe: So? Rachel: Phoebe, that is juice, squeezed from a person.",anger,confusion|skepticism,confusion|skepticism,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0030,That would be no.,"Chandler: Of course the packaging does appeal to grown-ups and kids alike. Carol: Ross, you're being silly. I've tried it, it's no big deal. Just taste it.",disgust,dismissive|resigned,dismissive|resigned,neutral,heuristic_llm_fallback,0.55,"Unresolved words: dismissive, resigned; used text-level fallback.",false
S0031,"Oh, you've tasted it.",Joey: Exactly. Ross: You've tasted it? You've tasted it. Susan: Uh huh.,anger,surprise|curiosity,surprise|curiosity,surprise,dictionary,0.8500000000000001,Dictionary majority vote over normalized emotion words.,false
S0032,Push!,"Joey: Come on, Lydia, you can do it.",joy,encouragement|support,encouragement|support,neutral,heuristic_llm_fallback,0.55,"Unresolved words: encouragement, support; used text-level fallback.",false
S0034,"Ohh, well, this is just perfect!","Phoebe: Yeah, she was bald, shes not now. Rachel: How could you not tell me that she has hair? Phoebe: I dont know, I hardly ever say that about people.",anger,surprise|sarcasm,surprise|sarcasm,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0033,Why are there only two of you?,"Phoebe: All right. Phoebe: Well, thats just the way that goes. Phoebe: Okay, good.",fear,curious|confused,curious|confused,surprise,dictionary,0.8500000000000001,Dictionary majority vote over normalized emotion words.,false
S0036,"I'm sorry, honey, I promise it will never happen again.",Chandler: Really stupid. Mrs. Bing: Really stupid. Mrs. Bing: And I don't even know how it happened.,sadness,apologetic|concerned,apologetic|concerned,sadness,dictionary_tie_break,0.6,Dictionary labels tied; used first generated emotion as tie-break.,false
S0035,"Oh! Ohhhhh! Oh! Phoebe, come here. Aw, this is my new bed. You gotta feel this bad boy.","Phoebe: I mean if you buy a bed from Janices ex-husband, thats like betraying Chandler. Monica: Not at these prices. Phoebe: Hi. Y'know in England this car would be on the other side of the store.  Woo!",joy,excitement|enthusiasm,excitement|enthusiasm,joy,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0037,No-no! Don't do it! Don't!,"Chandler: Four hours? You guys have been doing this for four hours? Joey: That's right baby. Chandler: All right, let me in.",fear,fear|urgency,fear|urgency,neutral,heuristic_llm_fallback,0.55,"Unresolved words: fear, urgency; used text-level fallback.",false
S0038,Shielding your face and shrieking like a girl... is not a backhand.,"Sarah: So thats two boxes of the Holiday Macaroons. On behalf of the Brown Birds of America, I salute you. Ross: Just admit it Chandler, you have no backhand. Chandler: Excuse me little one, I have a very solid backhand.",disgust,mocking|critical,mocking|critical,neutral,heuristic_llm_fallback,0.55,"Unresolved words: mocking, critical; used text-level fallback.",false
S0039,Okay. But the question is whos gonna go first. Cause whoever goes second is the bitch.,"Monica: Okay well then, Ill fire him today and you go out with him for another week. Phoebe: Are you kidding?! Another week with that sip, Ill kill Monica: Okay well, then well both do it today and hell just have to deal with it!",sadness,resigned|hesitant,resigned|hesitant,fear,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0040,Were not even shootin them anymore?!!,"Joey: Like theyre taking it off the air? Joey: Ohh. Joey: All right, see you Monday.",surprise,surprise|confusion,surprise|confusion,surprise,dictionary,0.8500000000000001,Dictionary majority vote over normalized emotion words.,false
S0041,I dont think Id be comfortable with any of my old lovers there.,Ross: Sure. Why not? Emily: Really? Ross: Yeah?,sadness,hesitant|uncomfortable,hesitant|uncomfortable,fear,dictionary_tie_break,0.6,Dictionary labels tied; used first generated emotion as tie-break.,false
S0042,"Wait-wait-wait, do you, do you think, maybe we shouldnt invite her?",Emily: Really? Ross: Yeah? Emily: I dont think Id be comfortable with any of my old lovers there.,fear,hesitant|uncertain,hesitant|uncertain,fear,dictionary,0.8500000000000001,Dictionary majority vote over normalized emotion words.,false
S0043,Who cares? I repel women.,"Chandler: Okay, is this lamp in the same place?",disgust,frustration|self-deprecation,frustration|self-deprecation,anger,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0044,Hi Jill!,"Jill: Its yours! Rachel: Yeah well, Im-Im a slut. Jill: Me too.",joy,greeting|casual,greeting|casual,neutral,dictionary,0.8500000000000001,Dictionary majority vote over normalized emotion words.,false
S0045,"Uh, it's 2:30 in the morning!","Chandler: Shut-out!! Monica: Where are you guys going? Come on, one more game!",sadness,surprise|exhaustion,surprise|exhaustion,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0046,I did not cry my eyes out!!,"Monica: Dont I deserve a few tears?!! Monica: I mean we-we told Joey, he cried his eyes out! Joey: Hey!",anger,defensive|indignant,defensive|indignant,anger,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0047,I wanna see whats in your hand. I wanna see the trash.,"Joey: Oh my God, youre back! Phoebe: Ohh, let me see it! Let me see your hand! Monica: Why do you want to see my hand?",disgust,curious|playful,curious|playful,surprise,dictionary_tie_break,0.6,Dictionary labels tied; used first generated emotion as tie-break.,false
S0048,"Eww! Oh, its all dirty. You should throw this out.","Phoebe: Ohh, let me see it! Let me see your hand! Monica: Why do you want to see my hand? Phoebe: I wanna see whats in your hand. I wanna see the trash.",disgust,disgust|annoyance,disgust|annoyance,disgust,dictionary_tie_break,0.6,Dictionary labels tied; used first generated emotion as tie-break.,false
S0050,Whoa!,"Phoebe: Help! Phoebe: Oh good! Phoebe: Thank you, I need that.",surprise,surprise|relief,surprise|relief,surprise,dictionary_tie_break,0.6,Dictionary labels tied; used first generated emotion as tie-break.,false
