source_experiment,mapping_strategy,sample_id,dialogue_id,utterance_id,speaker,utterance,context,gold_label,input_condition,free_emotions,free_emotions_norm,mapped_label,mapping_covered,mapping_confidence,mapping_reason,is_correct
open_vocab,dictionary,S0002,18,7,Phoebe,"Well for the regular guy, its bad, but Chandler, Oh dear God!",Monica: The woman from the museum called and said that there was a cancellation and that we could move up our wedding and Chandler heard! Monica: I know! Monica: How bad is this?,fear,text + context + image,surprise|concern,surprise|concern,surprise,true,0.75,Dictionary tie; used first generated mapped emotion.,false
open_vocab,llm,S0002,18,7,Phoebe,"Well for the regular guy, its bad, but Chandler, Oh dear God!",Monica: The woman from the museum called and said that there was a cancellation and that we could move up our wedding and Chandler heard! Monica: I know! Monica: How bad is this?,fear,text + context + image,surprise|concern,surprise|concern,surprise,true,0.8,The fine-grained emotion 'surprise' is the closest match to the speaker's reaction of astonishment and concern in response to Chandler hearing about the wedding cancellation.,false
open_vocab,hybrid,S0002,18,7,Phoebe,"Well for the regular guy, its bad, but Chandler, Oh dear God!",Monica: The woman from the museum called and said that there was a cancellation and that we could move up our wedding and Chandler heard! Monica: I know! Monica: How bad is this?,fear,text + context + image,surprise|concern,surprise|concern,surprise,true,0.75,Dictionary tie; used first generated mapped emotion.,false
open_vocab,dictionary,S0001,100,0,Monica,Okay. Its Emma.,,neutral,text + context + image,neutral|reflective,neutral|reflective,neutral,true,0.8500000000000001,Dictionary majority vote.,true
open_vocab,llm,S0001,100,0,Monica,Okay. Its Emma.,,neutral,text + context + image,neutral|reflective,neutral|reflective,neutral,true,0.9,"The fine-grained emotion 'neutral|reflective' aligns closely with the 'neutral' coarse label, as there are no indicators of strong emotion.",true
open_vocab,hybrid,S0001,100,0,Monica,Okay. Its Emma.,,neutral,text + context + image,neutral|reflective,neutral|reflective,neutral,true,0.8500000000000001,Dictionary majority vote.,true
open_vocab,dictionary,S0004,2,1,Estelle,Well! Well! Well! Joey Tribbiani! So you came back huh? They,"Joey: Hey Estelle, listen",surprise,text + context + image,surprise|skepticism,surprise|skepticism,surprise,true,0.75,Dictionary majority vote.,true
open_vocab,llm,S0004,2,1,Estelle,Well! Well! Well! Joey Tribbiani! So you came back huh? They,"Joey: Hey Estelle, listen",surprise,text + context + image,surprise|skepticism,surprise|skepticism,surprise,true,0.9,"The fine-grained emotions 'surprise' and 'skepticism' align closely with the coarse label 'surprise'. The speaker's tone suggests a mix of astonishment and questioning, which is best captured by 'surprise'.",true
open_vocab,hybrid,S0004,2,1,Estelle,Well! Well! Well! Joey Tribbiani! So you came back huh? They,"Joey: Hey Estelle, listen",surprise,text + context + image,surprise|skepticism,surprise|skepticism,surprise,true,0.75,Dictionary majority vote.,true
open_vocab,dictionary,S0003,19,13,Susan,Who am I?,Ross: Where does that leave me? Susan: You get to be the baby's father. Susan: Everyone knows who you are.,anger,text + context + image,confusion|uncertainty,confusion|uncertainty,surprise,true,0.75,Dictionary tie; used first generated mapped emotion.,false
open_vocab,llm,S0003,19,13,Susan,Who am I?,Ross: Where does that leave me? Susan: You get to be the baby's father. Susan: Everyone knows who you are.,anger,text + context + image,confusion|uncertainty,confusion|uncertainty,surprise,true,0.9,"The fine-grained emotion 'confusion|uncertainty' aligns closely with the coarse label 'surprise,' as it reflects a state of unexpected realization or questioning, which is consistent with the context of Susan's utterance.",false
open_vocab,hybrid,S0003,19,13,Susan,Who am I?,Ross: Where does that leave me? Susan: You get to be the baby's father. Susan: Everyone knows who you are.,anger,text + context + image,confusion|uncertainty,confusion|uncertainty,surprise,true,0.75,Dictionary tie; used first generated mapped emotion.,false
open_vocab,dictionary,S0006,23,2,Ross,"My marriage, I think my marriage is um, is kinda over.","Ross: Hi. Where is everybody? Phoebe: Oh, its already closed, Chris gave me the keys to lock up-what is wrong?",sadness,text + context + image,sadness|concern,sadness|concern,fear,true,0.75,Dictionary majority vote.,false
open_vocab,llm,S0006,23,2,Ross,"My marriage, I think my marriage is um, is kinda over.","Ross: Hi. Where is everybody? Phoebe: Oh, its already closed, Chris gave me the keys to lock up-what is wrong?",sadness,text + context + image,sadness|concern,sadness|concern,sadness,true,0.9,The fine-grained emotion 'sadness' is directly mapped to the coarse label 'sadness'. The context of Ross expressing concern about his marriage being over aligns with this emotional state.,true
open_vocab,hybrid,S0006,23,2,Ross,"My marriage, I think my marriage is um, is kinda over.","Ross: Hi. Where is everybody? Phoebe: Oh, its already closed, Chris gave me the keys to lock up-what is wrong?",sadness,text + context + image,sadness|concern,sadness|concern,fear,true,0.75,Dictionary majority vote.,false
open_vocab,dictionary,S0005,20,4,Rachel,"Oh, y'know Joey, you are sick!","Monica: Hi, how are you doing Kelly? Rachel: I'm doing just fine! God, Tiffany, you smell so great! Monica: It's my new perfume. Why don't you come closer where you can",disgust,text + context + image,annoyance|frustration,annoyance|frustration,anger,true,0.8500000000000001,Dictionary majority vote.,false
open_vocab,llm,S0005,20,4,Rachel,"Oh, y'know Joey, you are sick!","Monica: Hi, how are you doing Kelly? Rachel: I'm doing just fine! God, Tiffany, you smell so great! Monica: It's my new perfume. Why don't you come closer where you can",disgust,text + context + image,annoyance|frustration,annoyance|frustration,anger,true,0.9,"The fine-grained emotions of annoyance and frustration align closely with the coarse label 'anger,' as they both reflect irritation or displeasure.",false
open_vocab,hybrid,S0005,20,4,Rachel,"Oh, y'know Joey, you are sick!","Monica: Hi, how are you doing Kelly? Rachel: I'm doing just fine! God, Tiffany, you smell so great! Monica: It's my new perfume. Why don't you come closer where you can",disgust,text + context + image,annoyance|frustration,annoyance|frustration,anger,true,0.8500000000000001,Dictionary majority vote.,false
open_vocab,dictionary,S0008,28,1,Phoebe,"Oh, this life! Oh okay no, Chandler's is worse.",Ross: In,sadness,text + context + image,frustration|exasperation,frustration|exasperation,anger,true,0.75,Dictionary majority vote.,false
open_vocab,llm,S0008,28,1,Phoebe,"Oh, this life! Oh okay no, Chandler's is worse.",Ross: In,sadness,text + context + image,frustration|exasperation,frustration|exasperation,anger,true,0.9,"The fine-grained emotions of frustration and exasperation align closely with the coarse label of anger, as they both convey a strong sense of irritation or displeasure.",false
open_vocab,hybrid,S0008,28,1,Phoebe,"Oh, this life! Oh okay no, Chandler's is worse.",Ross: In,sadness,text + context + image,frustration|exasperation,frustration|exasperation,anger,true,0.75,Dictionary majority vote.,false
open_vocab,dictionary,S0007,27,6,Monica,"Phoebe, come on, you have to tell us.","Chandler: Why not? Phoebe: I cant say because hes famous. Rachel: Oh my God, who is it?!",anger,text + context + image,curiosity|anticipation,curiosity|anticipation,surprise,true,0.75,Dictionary majority vote.,false
open_vocab,llm,S0007,27,6,Monica,"Phoebe, come on, you have to tell us.","Chandler: Why not? Phoebe: I cant say because hes famous. Rachel: Oh my God, who is it?!",anger,text + context + image,curiosity|anticipation,curiosity|anticipation,surprise,true,0.9,"The fine-grained emotion 'curiosity|anticipation' aligns closely with the coarse label 'surprise', as it reflects an eagerness to learn something unexpected or unknown.",false
open_vocab,hybrid,S0007,27,6,Monica,"Phoebe, come on, you have to tell us.","Chandler: Why not? Phoebe: I cant say because hes famous. Rachel: Oh my God, who is it?!",anger,text + context + image,curiosity|anticipation,curiosity|anticipation,surprise,true,0.75,Dictionary majority vote.,false
open_vocab,dictionary,S0009,28,2,Joey,"Man, it must be so cool remembering stuff like that! I don't have any past life memories.","Ross: In Phoebe: Oh, this life! Oh okay no, Chandler's is worse.",joy,text + context + image,curiosity|wistfulness,curiosity|wistfulness,surprise,true,0.75,Dictionary majority vote.,false
open_vocab,llm,S0009,28,2,Joey,"Man, it must be so cool remembering stuff like that! I don't have any past life memories.","Ross: In Phoebe: Oh, this life! Oh okay no, Chandler's is worse.",joy,text + context + image,curiosity|wistfulness,curiosity|wistfulness,joy,true,0.8,"The fine-grained emotion 'wistfulness' aligns closely with joy in this context, as Joey expresses admiration and a sense of wonder about past life memories, which is a positive and uplifting sentiment.",true
open_vocab,hybrid,S0009,28,2,Joey,"Man, it must be so cool remembering stuff like that! I don't have any past life memories.","Ross: In Phoebe: Oh, this life! Oh okay no, Chandler's is worse.",joy,text + context + image,curiosity|wistfulness,curiosity|wistfulness,surprise,true,0.75,Dictionary majority vote.,false
open_vocab,dictionary,S0010,32,2,Dr. Long,"So, eight days late huh?",Dr. Long: Well do a quick check. Rachel: Okay.,surprise,text + context + image,curious|inquisitive,curious|inquisitive,surprise,true,0.75,Dictionary majority vote.,true
open_vocab,llm,S0010,32,2,Dr. Long,"So, eight days late huh?",Dr. Long: Well do a quick check. Rachel: Okay.,surprise,text + context + image,curious|inquisitive,curious|inquisitive,surprise,true,0.9,"The fine-grained emotion 'curious|inquisitive' aligns closely with the coarse label 'surprise,' as it reflects an unexpected or questioning tone in response to being eight days late.",true
open_vocab,hybrid,S0010,32,2,Dr. Long,"So, eight days late huh?",Dr. Long: Well do a quick check. Rachel: Okay.,surprise,text + context + image,curious|inquisitive,curious|inquisitive,surprise,true,0.75,Dictionary majority vote.,true
open_vocab,dictionary,S0012,39,1,Monica,"We could, or we can have sex in it.",Chandler: Should we tell Rachel theres an empty private room right next door to hers?,joy,text + context + image,flirtatious|playful,flirtatious|playful,joy,true,0.75,Dictionary majority vote.,true
open_vocab,llm,S0012,39,1,Monica,"We could, or we can have sex in it.",Chandler: Should we tell Rachel theres an empty private room right next door to hers?,joy,text + context + image,flirtatious|playful,flirtatious|playful,joy,true,0.9,"The fine-grained emotions 'flirtatious' and 'playful' align closely with the coarse emotion label 'joy,' as they convey lightheartedness and positive engagement.",true
open_vocab,hybrid,S0012,39,1,Monica,"We could, or we can have sex in it.",Chandler: Should we tell Rachel theres an empty private room right next door to hers?,joy,text + context + image,flirtatious|playful,flirtatious|playful,joy,true,0.75,Dictionary majority vote.,true
open_vocab,dictionary,S0011,37,2,Rachel,"Oh, I cant watch this.","TV Announcer: Pete Becker is circling the ring now. It looks like, hes just trying to feel him out. Oh, Bruiser is just... Chandler: Run! Run you crazy, rich freak!",fear,text + context + image,distressed|overwhelmed,distressed|overwhelmed,unmapped,false,0.0,No normalized emotion word matched the dictionary.,false
open_vocab,llm,S0011,37,2,Rachel,"Oh, I cant watch this.","TV Announcer: Pete Becker is circling the ring now. It looks like, hes just trying to feel him out. Oh, Bruiser is just... Chandler: Run! Run you crazy, rich freak!",fear,text + context + image,distressed|overwhelmed,distressed|overwhelmed,fear,true,0.9,"The fine-grained emotion 'distressed|overwhelmed' aligns closely with the coarse label 'fear,' as it reflects a sense of desperation or urgency in response to the intense and alarming situation described in the conversation.",true
open_vocab,hybrid,S0011,37,2,Rachel,"Oh, I cant watch this.","TV Announcer: Pete Becker is circling the ring now. It looks like, hes just trying to feel him out. Oh, Bruiser is just... Chandler: Run! Run you crazy, rich freak!",fear,text + context + image,distressed|overwhelmed,distressed|overwhelmed,fear,true,0.9,"The fine-grained emotion 'distressed|overwhelmed' aligns closely with the coarse label 'fear,' as it reflects a sense of desperation or urgency in response to the intense and alarming situation described in the conversation.",true
open_vocab,dictionary,S0013,4,11,Woman,"Ross Geller, why do I know that name? Its uhWait!  Did you write this?","Ross: I find Marions views far too progressionist. Woman: Im sorry, who are you? Ross: Im a professor here uh, RossGeller.",surprise,text + context + image,surprise|recognition,surprise|recognition,surprise,true,0.75,Dictionary majority vote.,true
open_vocab,llm,S0013,4,11,Woman,"Ross Geller, why do I know that name? Its uhWait!  Did you write this?","Ross: I find Marions views far too progressionist. Woman: Im sorry, who are you? Ross: Im a professor here uh, RossGeller.",surprise,text + context + image,surprise|recognition,surprise|recognition,surprise,true,0.95,"The utterance expresses a sudden realization or recognition, which aligns with the 'surprise' label.",true
open_vocab,hybrid,S0013,4,11,Woman,"Ross Geller, why do I know that name? Its uhWait!  Did you write this?","Ross: I find Marions views far too progressionist. Woman: Im sorry, who are you? Ross: Im a professor here uh, RossGeller.",surprise,text + context + image,surprise|recognition,surprise|recognition,surprise,true,0.75,Dictionary majority vote.,true
