sample_id,dialogue_id,utterance_id,speaker,utterance,context,gold_label,prompt_type,input_condition,model_name,custom_id,raw_output,confidence,reason,is_demo,free_emotions,free_emotions_norm,mapped_label,mapping_method,mapping_confidence,mapping_reason,is_correct
S0002,18,7,Phoebe,"Well for the regular guy, its bad, but Chandler, Oh dear God!",Monica: The woman from the museum called and said that there was a cancellation and that we could move up our wedding and Chandler heard! Monica: I know! Monica: How bad is this?,fear,open_vocab,text + context + image,qwen-vl-plus,open_vocab:S0002:text_plus_context_plus_image,"{\n  ""free_emotions"": [""surprise"", ""concern""],\n  ""confidence"": 0.85,\n  ""reason"": ""Phoebe's wide eyes and open mouth suggest surprise, while her tone and context imply concern about the situation involving Chandler.""\n}",0.85,"Phoebe's wide eyes and open mouth suggest surprise, while her tone and context imply concern about the situation involving Chandler.",false,surprise|concern,surprise|concern,surprise,dictionary_tie_break,0.6,Dictionary labels tied; used first generated emotion as tie-break.,false
S0001,100,0,Monica,Okay. Its Emma.,,neutral,open_vocab,text + context + image,qwen-vl-plus,open_vocab:S0001:text_plus_context_plus_image,"{\n  ""free_emotions"": [""concerned"", ""pensive""],\n  ""confidence"": 0.7,\n  ""reason"": ""The speaker's tone and the visual context of a concerned expression suggest a thoughtful or worried emotional state.""\n}",0.7,The speaker's tone and the visual context of a concerned expression suggest a thoughtful or worried emotional state.,false,concerned|pensive,concerned|pensive,fear,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0003,19,13,Susan,Who am I?,Ross: Where does that leave me? Susan: You get to be the baby's father. Susan: Everyone knows who you are.,anger,open_vocab,text + context + image,qwen-vl-plus,open_vocab:S0003:text_plus_context_plus_image,"{\n  ""free_emotions"": [""confusion"", ""uncertainty""],\n  ""confidence"": 0.85,\n  ""reason"": ""Susan's question 'Who am I?' and her expressive gesture suggest she is experiencing confusion and uncertainty about her identity or role.""\n}",0.85,Susan's question 'Who am I?' and her expressive gesture suggest she is experiencing confusion and uncertainty about her identity or role.,false,confusion|uncertainty,confusion|uncertainty,surprise,dictionary_tie_break,0.6,Dictionary labels tied; used first generated emotion as tie-break.,false
S0004,2,1,Estelle,Well! Well! Well! Joey Tribbiani! So you came back huh? They,"Joey: Hey Estelle, listen",surprise,open_vocab,text + context + image,qwen-vl-plus,open_vocab:S0004:text_plus_context_plus_image,"{\n  ""free_emotions"": [""surprise"", ""skepticism""],\n  ""confidence"": 0.85,\n  ""reason"": ""Estelle's repeated 'Well!' and direct address to Joey suggest surprise at his return, while her facial expression and tone imply a skeptical or questioning attitude.""\n}",0.85,"Estelle's repeated 'Well!' and direct address to Joey suggest surprise at his return, while her facial expression and tone imply a skeptical or questioning attitude.",false,surprise|skepticism,surprise|skepticism,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,true
S0005,20,4,Rachel,"Oh, y'know Joey, you are sick!","Monica: Hi, how are you doing Kelly? Rachel: I'm doing just fine! God, Tiffany, you smell so great! Monica: It's my new perfume. Why don't you come closer where you can",disgust,open_vocab,text + context + image,qwen-vl-plus,open_vocab:S0005:text_plus_context_plus_image,"{\n  ""free_emotions"": [""disgust"", ""annoyance""],\n  ""confidence"": 0.85,\n  ""reason"": ""Rachel's statement 'you are sick!' suggests she is expressing disgust or annoyance, likely in response to Joey's behavior or appearance.""\n}",0.85,"Rachel's statement 'you are sick!' suggests she is expressing disgust or annoyance, likely in response to Joey's behavior or appearance.",false,disgust|annoyance,disgust|annoyance,disgust,dictionary_tie_break,0.6,Dictionary labels tied; used first generated emotion as tie-break.,true
S0006,23,2,Ross,"My marriage, I think my marriage is um, is kinda over.","Ross: Hi. Where is everybody? Phoebe: Oh, its already closed, Chris gave me the keys to lock up-what is wrong?",sadness,open_vocab,text + context + image,qwen-vl-plus,open_vocab:S0006:text_plus_context_plus_image,"{\n  ""free_emotions"": [""sadness"", ""concern""],\n  ""confidence"": 0.85,\n  ""reason"": ""Ross's statement about his marriage being 'kinda over' indicates sadness and concern, supported by his somber facial expression in the image.""\n}",0.85,"Ross's statement about his marriage being 'kinda over' indicates sadness and concern, supported by his somber facial expression in the image.",false,sadness|concern,sadness|concern,sadness,dictionary_tie_break,0.6,Dictionary labels tied; used first generated emotion as tie-break.,true
S0008,28,1,Phoebe,"Oh, this life! Oh okay no, Chandler's is worse.",Ross: In,sadness,open_vocab,text + context + image,qwen-vl-plus,open_vocab:S0008:text_plus_context_plus_image,"{\n  ""free_emotions"": [""frustration"", ""exasperation""],\n  ""confidence"": 0.85,\n  ""reason"": ""Phoebe's tone and the context of her statement suggest she is expressing frustration or exasperation, likely in response to a situation involving Chandler.""\n}",0.85,"Phoebe's tone and the context of her statement suggest she is expressing frustration or exasperation, likely in response to a situation involving Chandler.",false,frustration|exasperation,frustration|exasperation,anger,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0007,27,6,Monica,"Phoebe, come on, you have to tell us.","Chandler: Why not? Phoebe: I cant say because hes famous. Rachel: Oh my God, who is it?!",anger,open_vocab,text + context + image,qwen-vl-plus,open_vocab:S0007:text_plus_context_plus_image,"{\n  ""free_emotions"": [""curiosity"", ""anticipation""],\n  ""confidence"": 0.85,\n  ""reason"": ""Monica's direct request for Phoebe to reveal information, combined with the visual context of a formal gathering where secrets or surprises are common, suggests she is curious and anticipates an exciting revelation.""\n}",0.85,"Monica's direct request for Phoebe to reveal information, combined with the visual context of a formal gathering where secrets or surprises are common, suggests she is curious and anticipates an exciting revelation.",false,curiosity|anticipation,curiosity|anticipation,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0009,28,2,Joey,"Man, it must be so cool remembering stuff like that! I don't have any past life memories.","Ross: In Phoebe: Oh, this life! Oh okay no, Chandler's is worse.",joy,open_vocab,text + context + image,qwen-vl-plus,open_vocab:S0009:text_plus_context_plus_image,"{\n  ""free_emotions"": [""curiosity"", ""wistfulness""],\n  ""confidence"": 0.85,\n  ""reason"": ""Joey's expression and tone suggest he is curious about the topic of past life memories, while his statement also hints at a sense of longing or wistfulness for not having such memories.""\n}",0.85,"Joey's expression and tone suggest he is curious about the topic of past life memories, while his statement also hints at a sense of longing or wistfulness for not having such memories.",false,curiosity|wistfulness,curiosity|wistfulness,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0010,32,2,Dr. Long,"So, eight days late huh?",Dr. Long: Well do a quick check. Rachel: Okay.,surprise,open_vocab,text + context + image,qwen-vl-plus,open_vocab:S0010:text_plus_context_plus_image,"{\n  ""free_emotions"": [""curious"", ""inquisitive""],\n  ""confidence"": 0.85,\n  ""reason"": ""Dr. Long's tone and facial expression suggest she is asking a question with interest, likely seeking clarification or understanding about the situation.""\n}",0.85,"Dr. Long's tone and facial expression suggest she is asking a question with interest, likely seeking clarification or understanding about the situation.",false,curious|inquisitive,curious|inquisitive,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,true
S0011,37,2,Rachel,"Oh, I cant watch this.","TV Announcer: Pete Becker is circling the ring now. It looks like, hes just trying to feel him out. Oh, Bruiser is just... Chandler: Run! Run you crazy, rich freak!",fear,open_vocab,text + context + image,qwen-vl-plus,open_vocab:S0011:text_plus_context_plus_image,"{\n  ""free_emotions"": [""distressed"", ""overwhelmed""],\n  ""confidence"": 0.85,\n  ""reason"": ""Rachel's statement 'Oh, I can't watch this' suggests she is emotionally overwhelmed or distressed by the content of the TV show they are watching.""\n}",0.85,"Rachel's statement 'Oh, I can't watch this' suggests she is emotionally overwhelmed or distressed by the content of the TV show they are watching.",false,distressed|overwhelmed,distressed|overwhelmed,neutral,heuristic_llm_fallback,0.55,"Unresolved words: distressed, overwhelmed; used text-level fallback.",false
S0012,39,1,Monica,"We could, or we can have sex in it.",Chandler: Should we tell Rachel theres an empty private room right next door to hers?,joy,open_vocab,text + context + image,qwen-vl-plus,open_vocab:S0012:text_plus_context_plus_image,"{\n  ""free_emotions"": [""flirtatious"", ""playful""],\n  ""confidence"": 0.9,\n  ""reason"": ""Monica's body language and facial expression in the image suggest a flirtatious and playful demeanor, consistent with her suggestive utterance.""\n}",0.9,"Monica's body language and facial expression in the image suggest a flirtatious and playful demeanor, consistent with her suggestive utterance.",false,flirtatious|playful,flirtatious|playful,joy,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,true
