sample_id,dialogue_id,utterance_id,speaker,utterance,context,gold_label,video_path,frame_paths,source_split,is_demo
S0001,100,0,Monica,Okay. Its Emma.,,neutral,/home/asterich/code/python/emotional_computing_lab/data/raw/MELD.Raw/dev_splits_complete/dia100_utt0.mp4,frames/extracted_frames/S0001/frame_000015.jpg|frames/extracted_frames/S0001/frame_000030.jpg|frames/extracted_frames/S0001/frame_000045.jpg,dev,false
S0002,18,7,Phoebe,"Well for the regular guy, its bad, but Chandler, Oh dear God!",Monica: The woman from the museum called and said that there was a cancellation and that we could move up our wedding and Chandler heard! Monica: I know! Monica: How bad is this?,fear,/home/asterich/code/python/emotional_computing_lab/data/raw/MELD.Raw/dev_splits_complete/dia18_utt7.mp4,frames/extracted_frames/S0002/frame_000024.jpg|frames/extracted_frames/S0002/frame_000049.jpg|frames/extracted_frames/S0002/frame_000074.jpg,dev,false
S0003,19,13,Susan,Who am I?,Ross: Where does that leave me? Susan: You get to be the baby's father. Susan: Everyone knows who you are.,anger,/home/asterich/code/python/emotional_computing_lab/data/raw/MELD.Raw/dev_splits_complete/dia19_utt13.mp4,frames/extracted_frames/S0003/frame_000015.jpg|frames/extracted_frames/S0003/frame_000031.jpg|frames/extracted_frames/S0003/frame_000047.jpg,dev,false
S0004,2,1,Estelle,Well! Well! Well! Joey Tribbiani! So you came back huh? They,"Joey: Hey Estelle, listen",surprise,/home/asterich/code/python/emotional_computing_lab/data/raw/MELD.Raw/dev_splits_complete/dia2_utt1.mp4,frames/extracted_frames/S0004/frame_000047.jpg|frames/extracted_frames/S0004/frame_000095.jpg|frames/extracted_frames/S0004/frame_000143.jpg,dev,false
S0005,20,4,Rachel,"Oh, y'know Joey, you are sick!","Monica: Hi, how are you doing Kelly? Rachel: I'm doing just fine! God, Tiffany, you smell so great! Monica: It's my new perfume. Why don't you come closer where you can",disgust,/home/asterich/code/python/emotional_computing_lab/data/raw/MELD.Raw/dev_splits_complete/dia20_utt4.mp4,frames/extracted_frames/S0005/frame_000014.jpg|frames/extracted_frames/S0005/frame_000029.jpg|frames/extracted_frames/S0005/frame_000043.jpg,dev,false
S0006,23,2,Ross,"My marriage, I think my marriage is um, is kinda over.","Ross: Hi. Where is everybody? Phoebe: Oh, its already closed, Chris gave me the keys to lock up-what is wrong?",sadness,/home/asterich/code/python/emotional_computing_lab/data/raw/MELD.Raw/dev_splits_complete/dia23_utt2.mp4,frames/extracted_frames/S0006/frame_000040.jpg|frames/extracted_frames/S0006/frame_000081.jpg|frames/extracted_frames/S0006/frame_000122.jpg,dev,false
S0007,27,6,Monica,"Phoebe, come on, you have to tell us.","Chandler: Why not? Phoebe: I cant say because hes famous. Rachel: Oh my God, who is it?!",anger,/home/asterich/code/python/emotional_computing_lab/data/raw/MELD.Raw/dev_splits_complete/dia27_utt6.mp4,frames/extracted_frames/S0007/frame_000012.jpg|frames/extracted_frames/S0007/frame_000025.jpg|frames/extracted_frames/S0007/frame_000038.jpg,dev,false
S0008,28,1,Phoebe,"Oh, this life! Oh okay no, Chandler's is worse.",Ross: In,sadness,/home/asterich/code/python/emotional_computing_lab/data/raw/MELD.Raw/dev_splits_complete/dia28_utt1.mp4,frames/extracted_frames/S0008/frame_000017.jpg|frames/extracted_frames/S0008/frame_000034.jpg|frames/extracted_frames/S0008/frame_000051.jpg,dev,false
S0009,28,2,Joey,"Man, it must be so cool remembering stuff like that! I don't have any past life memories.","Ross: In Phoebe: Oh, this life! Oh okay no, Chandler's is worse.",joy,/home/asterich/code/python/emotional_computing_lab/data/raw/MELD.Raw/dev_splits_complete/dia28_utt2.mp4,frames/extracted_frames/S0009/frame_000031.jpg|frames/extracted_frames/S0009/frame_000062.jpg|frames/extracted_frames/S0009/frame_000093.jpg,dev,false
S0010,32,2,Dr. Long,"So, eight days late huh?",Dr. Long: Well do a quick check. Rachel: Okay.,surprise,/home/asterich/code/python/emotional_computing_lab/data/raw/MELD.Raw/dev_splits_complete/dia32_utt2.mp4,frames/extracted_frames/S0010/frame_000011.jpg|frames/extracted_frames/S0010/frame_000023.jpg|frames/extracted_frames/S0010/frame_000035.jpg,dev,false
S0011,37,2,Rachel,"Oh, I cant watch this.","TV Announcer: Pete Becker is circling the ring now. It looks like, hes just trying to feel him out. Oh, Bruiser is just... Chandler: Run! Run you crazy, rich freak!",fear,/home/asterich/code/python/emotional_computing_lab/data/raw/MELD.Raw/dev_splits_complete/dia37_utt2.mp4,frames/extracted_frames/S0011/frame_000007.jpg|frames/extracted_frames/S0011/frame_000015.jpg|frames/extracted_frames/S0011/frame_000022.jpg,dev,false
S0012,39,1,Monica,"We could, or we can have sex in it.",Chandler: Should we tell Rachel theres an empty private room right next door to hers?,joy,/home/asterich/code/python/emotional_computing_lab/data/raw/MELD.Raw/dev_splits_complete/dia39_utt1.mp4,frames/extracted_frames/S0012/frame_000019.jpg|frames/extracted_frames/S0012/frame_000039.jpg|frames/extracted_frames/S0012/frame_000058.jpg,dev,false
S0013,4,11,Woman,"Ross Geller, why do I know that name? Its uhWait!  Did you write this?","Ross: I find Marions views far too progressionist. Woman: Im sorry, who are you? Ross: Im a professor here uh, RossGeller.",surprise,/home/asterich/code/python/emotional_computing_lab/data/raw/MELD.Raw/dev_splits_complete/dia4_utt11.mp4,frames/extracted_frames/S0013/frame_000062.jpg|frames/extracted_frames/S0013/frame_000124.jpg|frames/extracted_frames/S0013/frame_000186.jpg,dev,false
S0014,40,8,Rachel,"Good-good, dont tell him. Dont tell him. Just have him call me okay?","Joey: What? II just figured since youre pregnant youre not gonna be seeing people. Rachel: Okay Joey, first of all Kash Ford is not people. Second of all, what did he say when you told him I was pregnant? Joey: I didnt tell him. I didnt know if you were telling people. This is back when I thought Kash was still people.",fear,/home/asterich/code/python/emotional_computing_lab/data/raw/MELD.Raw/dev_splits_complete/dia40_utt8.mp4,frames/extracted_frames/S0014/frame_000013.jpg|frames/extracted_frames/S0014/frame_000027.jpg|frames/extracted_frames/S0014/frame_000040.jpg,dev,false
S0015,54,5,Rachel,"See, there's always one guy.  ""If I had a wish, I'd wish for three more wishes.""","Phoebe: If I were omnipotent for a day, I would want, um, world peace, no more hunger, good things for the rain-forest...And bigger boobs! Ross: Yeah, see.. you took mine. Chandler, what about you? Chandler: Uh, if I were omnipotent for a day, I'd.. make myself omnipotent forever.",disgust,/home/asterich/code/python/emotional_computing_lab/data/raw/MELD.Raw/dev_splits_complete/dia54_utt5.mp4,frames/extracted_frames/S0015/frame_000031.jpg|frames/extracted_frames/S0015/frame_000062.jpg|frames/extracted_frames/S0015/frame_000093.jpg,dev,false
S0016,54,10,Joey,"Hey, if Little Joey's dead, then I got no reason to live!","Monica: Hey, Joey, what would you do if you were omnipotent? Joey: Probably kill myself! Monica: ..Excuse me?",sadness,/home/asterich/code/python/emotional_computing_lab/data/raw/MELD.Raw/dev_splits_complete/dia54_utt10.mp4,frames/extracted_frames/S0016/frame_000022.jpg|frames/extracted_frames/S0016/frame_000044.jpg|frames/extracted_frames/S0016/frame_000066.jpg,dev,false
S0017,56,9,Joey,"Listen, I ah, I gotta say good bye, and-and I gotta say it quick cause this is killing me.","Joey: In a minute!! Lauren: So this is it? Victor? Joey: Yeah, I guess it is.",sadness,/home/asterich/code/python/emotional_computing_lab/data/raw/MELD.Raw/dev_splits_complete/dia56_utt9.mp4,frames/extracted_frames/S0017/frame_000040.jpg|frames/extracted_frames/S0017/frame_000080.jpg|frames/extracted_frames/S0017/frame_000120.jpg,dev,false
S0018,6,0,Phoebe,"Oh, it's so romantic to send people off on their honeymoon.",,joy,/home/asterich/code/python/emotional_computing_lab/data/raw/MELD.Raw/dev_splits_complete/dia6_utt0.mp4,frames/extracted_frames/S0018/frame_000026.jpg|frames/extracted_frames/S0018/frame_000052.jpg|frames/extracted_frames/S0018/frame_000078.jpg,dev,false
S0019,67,6,Monica,Whats the charity?,"Chandler: Well, of course I do! My good friend Joey over here. Joey: Oh, Im sorry. Thank you Chandler. Rachel: Anyway, theres this big charity ball this weekend and Ralph Lauren bought a table, so I kinda have to go",neutral,/home/asterich/code/python/emotional_computing_lab/data/raw/MELD.Raw/dev_splits_complete/dia67_utt6.mp4,frames/extracted_frames/S0019/frame_000006.jpg|frames/extracted_frames/S0019/frame_000013.jpg|frames/extracted_frames/S0019/frame_000020.jpg,dev,false
S0020,81,0,Elizabeth,You wanted to see me Professor Geller?,,joy,/home/asterich/code/python/emotional_computing_lab/data/raw/MELD.Raw/dev_splits_complete/dia81_utt0.mp4,frames/extracted_frames/S0020/frame_000009.jpg|frames/extracted_frames/S0020/frame_000018.jpg|frames/extracted_frames/S0020/frame_000027.jpg,dev,false
