sample_id,utterance,context,gold_label,free_emotions,free_emotions_norm,mapped_label,mapping_method,mapping_confidence,mapping_reason,is_demo
S0001,Push!,"Ross: Or! Or, we could go to the bank, close our accounts and cut them off at the source. Joey: Come on, Lydia, you can do it. Joey: But then who? The waitress I went out with last month?",joy,determination|encouragement,determination|encouragement,surprise,heuristic_llm_fallback,0.55,"Unresolved words: determination, encouragement; used text-level fallback.",false
S0002,Okay. Its Emma.,,neutral,neutral|reflective,neutral|reflective,neutral,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0003,Why are there only two of you?,"Phoebe: All right. Phoebe: Well, thats just the way that goes. Phoebe: Okay, good.",fear,curious|confused,curious|confused,neutral,heuristic_llm_fallback,0.55,"Unresolved words: curious, confused; used text-level fallback.",false
S0004,"Well, its about time.","Ross: Hey! Chandler: Hi! Bye! Ross: Okay, Im done with my choices, these are final.",anger,impatience|resignation,impatience|resignation,neutral,heuristic_llm_fallback,0.55,"Unresolved words: impatience, resignation; used text-level fallback.",false
S0005,Shh!,"Dr. Oberman: Umm, I'm actually a first year resident, but I get that a lot, you see, I-I graduated early Phoebe: Uh-huh, me too. Ross, maybe I should've specified that I'd be needing a grown up doctor. Dr. Oberman: Oh no, I'm fully qualified to",anger,anticipation|caution,anticipation|caution,neutral,heuristic_llm_fallback,0.55,"Unresolved words: anticipation, caution; used text-level fallback.",false
S0006,"I mean its pretty unbelievable y'know, I mean they just took off, took off without even looking back.",Ross: ....right? Ross: Right?,anger,amazement|bewilderment,amazement|bewilderment,neutral,heuristic_llm_fallback,0.55,"Unresolved words: amazement, bewilderment; used text-level fallback.",false
S0007,I ate a bug.,"Carol: No. But its okay, Ill just put out pickles or something. Phoebe: Ross, thank God. Ross: Pheebs? What, why are you whispering?",disgust,shock|disgust,shock|disgust,neutral,default_neutral,0.4,No mappable emotion words found.,false
S0008,"Look, I-I-I am sorry that Rachel dumped you cause she fell in love with that Mark guy, and you are the innocent victim in all of this, but dont punish your friends for what Rachel did to you.","Carol: Listen, we both know youre gonna do it cause youre not a jerk. Carol: So you can either sulk here for a half hour and then go pick them up, or save us both time and sulk in the car. Ross: No, Rachel doesnt want me to....",neutral,sympathy|persuasion,sympathy|persuasion,neutral,heuristic_llm_fallback,0.55,"Unresolved words: sympathy, persuasion; used text-level fallback.",false
S0010,"Its just a healthy expression of female sexuality, which by the way, you will never understand.","Joey: Okay, look Im sorry, I went in there to take a nap and I know I shouldnt have, but you got porn! Rachel: Hey-hey, yknow what? Rachel: Theres nothing wrong with a woman enjoying a littleerotica.",anger,defensive|assertive,defensive|assertive,neutral,heuristic_llm_fallback,0.55,"Unresolved words: defensive, assertive; used text-level fallback.",false
S0009,"Ohh, well, this is just perfect!","Rachel: How could you not tell me that she has hair? Dr. Rhodes: He's good with rear things, bring him in too. Phoebe: I dont know, I hardly ever say that about people.",anger,sarcastic|exaggerated,sarcastic|exaggerated,neutral,heuristic_llm_fallback,0.55,"Unresolved words: sarcastic, exaggerated; used text-level fallback.",false
S0012,It made me nuts.,"Joey: Hold it, hold it. Joey: I gotta side with Chandler on this one. Joey: When I first moved to the city, I went out a couple of times with this girl, really hot, great kisser, but she had the biggest Adam's apple.",disgust,frustration|annoyance,frustration|annoyance,anger,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
